Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,i3 4030U,796,48.5,21876,https://cpu.userbenchmark.com/SpeedTest/13661/IntelR CoreTM i3 4030U CPU   190GHz
CPU,,Intel,i3 2330M,797,48.5,17888,https://cpu.userbenchmark.com/SpeedTest/1853/IntelR CoreTM i3 2330M CPU   220GHz
CPU,,AMD,Athlon II X3 455,798,48.4,3322,https://cpu.userbenchmark.com/SpeedTest/1884/AMD Athlontm II X3 455 Processor
CPU,,Intel,i5 650,799,48.4,44679,https://cpu.userbenchmark.com/SpeedTest/340/IntelR CoreTM i5 CPU         650    320GHz
CPU,,AMD,FX 770K (2014 D.Ka),800,48.3,1417,https://cpu.userbenchmark.com/SpeedTest/18603/AMD FXtm 770K Processor
CPU,,AMD,A10 6700T APU (2013 D.Ri),801,48.3,76,https://cpu.userbenchmark.com/SpeedTest/5691/AMD A10 6700T APU with Radeontm HD Graphics
CPU,,Intel,G630,802,48.3,11050,https://cpu.userbenchmark.com/SpeedTest/3112/IntelR PentiumR CPU G630   270GHz
CPU,,Intel,E5420,803,48.3,1326,https://cpu.userbenchmark.com/SpeedTest/11278/IntelR XeonR CPU           E5420    250GHz
CPU,,AMD,Athlon II X4 630,804,48.3,7266,https://cpu.userbenchmark.com/SpeedTest/471/AMD Athlontm II X4 630 Processor
CPU,,Intel,G550,805,48.2,1787,https://cpu.userbenchmark.com/SpeedTest/5014/IntelR CeleronR CPU G550   260GHz
CPU,,AMD,A8 7600 APU (2014 D.Ka),806,48.2,27568,https://cpu.userbenchmark.com/SpeedTest/14050/AMD A8 7600 Radeon R7 10 Compute Cores 4C 6G
CPU,AD786KYBJCSBX,AMD,A10 7860K APU (2014 D.Ka),807,48.2,10953,https://cpu.userbenchmark.com/SpeedTest/83781/AMD A10 7860K Radeon R7 12 Compute Cores 4C 8G
CPU,AD9700AHABBOX,AMD,A10 9700E APU (2016 D.BR),808,48.2,272,https://cpu.userbenchmark.com/SpeedTest/348934/AMD A10 9700E RADEON R7 10 COMPUTE CORES 4C 6G
CPU,,Intel,i3 2310M,809,48.2,20934,https://cpu.userbenchmark.com/SpeedTest/159/IntelR CoreTM i3 2310M CPU   210GHz
CPU,,Intel,m3 8100Y,810,48.2,1034,https://cpu.userbenchmark.com/SpeedTest/648336/IntelR CoreTM m3 8100Y CPU   110GHz
CPU,,Intel,G620,811,48.1,12024,https://cpu.userbenchmark.com/SpeedTest/2636/IntelR PentiumR CPU G620   260GHz
CPU,,Intel,Q8400,812,48,17194,https://cpu.userbenchmark.com/SpeedTest/1663/IntelR CoreTM2 CPU    Q8400    266GHz
CPU,,Intel,i3 5005U,813,47.9,45765,https://cpu.userbenchmark.com/SpeedTest/24957/IntelR CoreTM i3 5005U CPU   200GHz
CPU,,AMD,Phenom II X2 555,814,47.9,4270,https://cpu.userbenchmark.com/SpeedTest/2917/AMD Phenomtm II X2 555 Processor
CPU,,Intel,2020M,815,47.8,9092,https://cpu.userbenchmark.com/SpeedTest/1723/IntelR PentiumR CPU 2020M   240GHz
CPU,,Intel,i3 5015U,816,47.8,3737,https://cpu.userbenchmark.com/SpeedTest/32615/IntelR CoreTM i3 5015U CPU   210GHz
CPU,,Intel,Q6700,817,47.7,5820,https://cpu.userbenchmark.com/SpeedTest/3748/IntelR CoreTM2 CPU    Q6700    266GHz
