Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Athlon 7850,935,42,499,https://cpu.userbenchmark.com/SpeedTest/2660/AMD Athlontm 7850 Dual Core Processor
CPU,,AMD,Phenom II N930,936,42,500,https://cpu.userbenchmark.com/SpeedTest/6654/AMD Phenomtm II N930 Processor
CPU,,Intel,i3 2365M,937,42,1846,https://cpu.userbenchmark.com/SpeedTest/2519/IntelR CoreTM i3 2365M CPU   140GHz
CPU,,AMD,Athlon II X2 240,938,41.9,6911,https://cpu.userbenchmark.com/SpeedTest/4133/AMD Athlontm II X2 240 Processor
CPU,,Intel,E8200,939,41.9,4113,https://cpu.userbenchmark.com/SpeedTest/3200/IntelR CoreTM2 CPU     E8200    266GHz
CPU,,Intel,P9700,940,41.9,466,https://cpu.userbenchmark.com/SpeedTest/3330/IntelR CoreTM2 CPU     P9700    280GHz
CPU,,AMD,A4 5300 APU,941,41.9,6467,https://cpu.userbenchmark.com/SpeedTest/3554/AMD A4 5300 APU with Radeontm HD Graphics
CPU,,Intel,i3 M 390,942,41.9,952,https://cpu.userbenchmark.com/SpeedTest/8797/IntelR CoreTM i3 CPU       M 390    267GHz
CPU,,AMD,Athlon 64 X2 Dual 6000+,943,41.9,5169,https://cpu.userbenchmark.com/SpeedTest/5708/AMD Athlontm 64 X2 Dual Core Processor 6000 
CPU,,AMD,Phenom II N850,944,41.8,288,https://cpu.userbenchmark.com/SpeedTest/6473/AMD Phenomtm II N850 Triple Core Processor
CPU,,Intel,B815,945,41.8,2372,https://cpu.userbenchmark.com/SpeedTest/3210/IntelR CeleronR CPU B815   160GHz
CPU,,Intel,887,946,41.7,534,https://cpu.userbenchmark.com/SpeedTest/24/IntelR CeleronR CPU 887   150GHz
CPU,,Intel,1017U,947,41.6,1495,https://cpu.userbenchmark.com/SpeedTest/3839/IntelR CeleronR CPU 1017U   160GHz
CPU,,AMD,A8 4500M APU,948,41.6,8826,https://cpu.userbenchmark.com/SpeedTest/758/AMD A8 4500M APU with Radeontm HD Graphics
CPU,,Intel,X6800,949,41.5,252,https://cpu.userbenchmark.com/SpeedTest/8640/IntelR CoreTM2 CPU         X6800    293GHz
CPU,,Intel,i5 M 480,950,41.4,14753,https://cpu.userbenchmark.com/SpeedTest/3496/IntelR CoreTM i5 CPU       M 480    267GHz
CPU,,AMD,FX 7600P APU (2014 M.Ka),951,41.4,1032,https://cpu.userbenchmark.com/SpeedTest/23736/AMD FX 7600P Radeon R7 12 Compute Cores 4C 8G
CPU,,Intel,E7600,952,41.3,3827,https://cpu.userbenchmark.com/SpeedTest/4924/IntelR CoreTM2 CPU     E7600    306GHz
CPU,,Intel,E6700,953,41.3,4295,https://cpu.userbenchmark.com/SpeedTest/2030/PentiumR Dual Core  CPU      E6700    320GHz
CPU,,AMD,A6 3500 APU,954,41.2,2555,https://cpu.userbenchmark.com/SpeedTest/4150/AMD A6 3500 APU with Radeontm HD Graphics
CPU,,AMD,A4 4000 APU,955,41.2,4852,https://cpu.userbenchmark.com/SpeedTest/8144/AMD A4 4000 APU with Radeontm HD Graphics
CPU,,Intel,i5 M 540,956,41.2,8146,https://cpu.userbenchmark.com/SpeedTest/882/IntelR CoreTM i5 CPU       M 540    253GHz
CPU,,Intel,E6850,957,41.2,4186,https://cpu.userbenchmark.com/SpeedTest/681/IntelR CoreTM2 CPU     E6850    300GHz
CPU,,AMD,A6 7470K APU (2014 D.Ka),958,41.2,209,https://cpu.userbenchmark.com/SpeedTest/129200/AMD A6 7470K Radeon R5 6 Compute Cores 2C 4G
CPU,,Intel,T9500,959,41.2,923,https://cpu.userbenchmark.com/SpeedTest/4254/IntelR CoreTM2 CPU     T9500    260GHz
CPU,,AMD,Phenom X3 8450,960,41.1,1690,https://cpu.userbenchmark.com/SpeedTest/3789/AMD Phenomtm 8450 Triple Core Processor
CPU,,Intel,i5 M 560,961,41,11167,https://cpu.userbenchmark.com/SpeedTest/623/IntelR CoreTM i5 CPU       M 560    267GHz
CPU,FH8068003067415,Intel,Silver J5005,962,40.9,1693,https://cpu.userbenchmark.com/SpeedTest/487063/IntelR PentiumR Silver J5005 CPU   150GHz
CPU,,Intel,i5 M 520,963,40.8,23047,https://cpu.userbenchmark.com/SpeedTest/812/IntelR CoreTM i5 CPU       M 520    240GHz
CPU,,Intel,B800,964,40.7,2281,https://cpu.userbenchmark.com/SpeedTest/6775/IntelR CeleronR CPU B800   150GHz
CPU,,Intel,877,965,40.7,610,https://cpu.userbenchmark.com/SpeedTest/6414/IntelR CeleronR CPU 877   140GHz
CPU,,Intel,G6950,966,40.7,981,https://cpu.userbenchmark.com/SpeedTest/638/IntelR PentiumR CPU        G6950    280GHz
CPU,,Intel,i7 L 640,967,40.7,1951,https://cpu.userbenchmark.com/SpeedTest/4880/IntelR CoreTM i7 CPU       L 640    213GHz
CPU,,AMD,Athlon II X2 220,968,40.6,4600,https://cpu.userbenchmark.com/SpeedTest/5455/AMD Athlontm II X2 220 Processor
CPU,,Intel,E6600,969,40.6,4695,https://cpu.userbenchmark.com/SpeedTest/988/PentiumR Dual Core  CPU      E6600    306GHz
CPU,,Intel,i5 M 460,970,40.5,17378,https://cpu.userbenchmark.com/SpeedTest/126/IntelR CoreTM i5 CPU       M 460    253GHz
CPU,,Intel,P9500,971,40.5,293,https://cpu.userbenchmark.com/SpeedTest/5851/IntelR CoreTM2 CPU     P9500    253GHz
CPU,,Intel,6700,972,40.5,2228,https://cpu.userbenchmark.com/SpeedTest/3850/IntelR CoreTM2 CPU          6700    266GHz
CPU,,Intel,T9400,973,40.4,2955,https://cpu.userbenchmark.com/SpeedTest/3645/IntelR CoreTM2 CPU     T9400    253GHz
CPU,,AMD,Phenom II N830,974,40.4,644,https://cpu.userbenchmark.com/SpeedTest/690/AMD Phenomtm II N830 Triple Core Processor
CPU,,Intel,987,975,40.4,1417,https://cpu.userbenchmark.com/SpeedTest/4947/IntelR PentiumR CPU 987   150GHz
CPU,,Intel,3205U,976,40.3,800,https://cpu.userbenchmark.com/SpeedTest/28911/IntelR CeleronR 3205U   150GHz
CPU,,AMD,Athlon 7750,977,40.3,2167,https://cpu.userbenchmark.com/SpeedTest/3774/AMD Athlontm 7750 Dual Core Processor
CPU,,Intel,i5 M 450,978,40.3,7914,https://cpu.userbenchmark.com/SpeedTest/2006/IntelR CoreTM i5 CPU       M 450    240GHz
CPU,,Intel,E7500,979,40.3,39699,https://cpu.userbenchmark.com/SpeedTest/987/IntelR CoreTM2 CPU     E7500    293GHz
CPU,,Intel,T9600,980,40.3,3243,https://cpu.userbenchmark.com/SpeedTest/1795/IntelR CoreTM2 CPU     T9600    280GHz
CPU,,AMD,A6 3410MX APU,981,40.3,1002,https://cpu.userbenchmark.com/SpeedTest/5327/AMD A6 3410MX APU with Radeontm HD Graphics
CPU,,AMD,A8 3520M APU,982,40.2,1248,https://cpu.userbenchmark.com/SpeedTest/6369/AMD A8 3520M APU with Radeontm HD Graphics
CPU,,Intel,1007U,983,40.2,4780,https://cpu.userbenchmark.com/SpeedTest/3995/IntelR CeleronR CPU 1007U   150GHz
CPU,,Intel,T9550,984,40.2,1350,https://cpu.userbenchmark.com/SpeedTest/6301/IntelR CoreTM2 CPU     T9550    266GHz
CPU,,Intel,i3 2357M,985,40.1,116,https://cpu.userbenchmark.com/SpeedTest/6916/IntelR CoreTM i3 2357M CPU   130GHz
CPU,,AMD,Athlon 64 X2 Dual 5600+,986,40,3298,https://cpu.userbenchmark.com/SpeedTest/2183/AMD Athlontm 64 X2 Dual Core Processor 5600 
CPU,,Intel,P9600,987,40,486,https://cpu.userbenchmark.com/SpeedTest/8493/IntelR CoreTM2 CPU     P9600    266GHz
CPU,,Intel,E6500,988,39.9,5432,https://cpu.userbenchmark.com/SpeedTest/720/PentiumR Dual Core  CPU      E6500    293GHz
CPU,,Intel,i3 M 380,989,39.9,20182,https://cpu.userbenchmark.com/SpeedTest/919/IntelR CoreTM i3 CPU       M 380    253GHz
CPU,,AMD,A12 9720P APU (2016 M.BR),990,39.9,15446,https://cpu.userbenchmark.com/SpeedTest/308530/AMD A12 9720P RADEON R7 12 COMPUTE CORES 4C 8G
CPU,,Intel,E6750,991,39.8,9390,https://cpu.userbenchmark.com/SpeedTest/729/IntelR CoreTM2 CPU     E6750    266GHz
CPU,,Intel,2957U,992,39.8,2518,https://cpu.userbenchmark.com/SpeedTest/12071/IntelR CeleronR 2957U   140GHz
CPU,,AMD,A8 3500M APU,993,39.7,1286,https://cpu.userbenchmark.com/SpeedTest/5434/AMD A8 3500M APU with Radeontm HD Graphics
CPU,,AMD,Athlon II X2 215,994,39.7,4174,https://cpu.userbenchmark.com/SpeedTest/885/AMD Athlontm II X2 215 Processor
CPU,,Intel,D 3.73GHz,995,39.7,43,https://cpu.userbenchmark.com/SpeedTest/10162/IntelR PentiumR D CPU 373GHz
CPU,,AMD,Athlon 64 X2 Dual 5400+,996,39.6,905,https://cpu.userbenchmark.com/SpeedTest/4069/AMD Athlontm 64 X2 Dual Core Processor 5400 
CPU,,Intel,i3 M 370,997,39.6,21276,https://cpu.userbenchmark.com/SpeedTest/259/IntelR CoreTM i3 CPU       M 370    240GHz
CPU,,Intel,E7400,998,39.6,12698,https://cpu.userbenchmark.com/SpeedTest/2077/IntelR CoreTM2 CPU     E7400    280GHz
CPU,,Intel,E7300,999,39.5,7068,https://cpu.userbenchmark.com/SpeedTest/2080/IntelR CoreTM2 CPU     E7300    266GHz
CPU,HE8067702740049,Intel,4425Y,1000,39.5,342,https://cpu.userbenchmark.com/SpeedTest/786431/IntelR PentiumR CPU 4425Y   170GHz
CPU,,AMD,A8 7200P APU (2014 M.Ka),1001,39.4,127,https://cpu.userbenchmark.com/SpeedTest/64755/AMD A8 7200P Radeon R5 8 Compute Cores 4C 4G
CPU,,Intel,i5 M 430,1002,39.3,11476,https://cpu.userbenchmark.com/SpeedTest/34/IntelR CoreTM i5 CPU       M 430    227GHz
CPU,FM980PADY44AB,AMD,FX 9800P APU (2016 M.BR),1003,39.3,2575,https://cpu.userbenchmark.com/SpeedTest/141405/AMD FX 9800P RADEON R7 12 COMPUTE CORES 4C 8G
CPU,,Intel,T9300,1004,39.3,2997,https://cpu.userbenchmark.com/SpeedTest/2444/IntelR CoreTM2 CPU     T9300    250GHz
CPU,,Intel,E7200,1005,39.2,5586,https://cpu.userbenchmark.com/SpeedTest/1876/IntelR CoreTM2 CPU     E7200    253GHz
CPU,,Intel,P8800,1006,39.2,894,https://cpu.userbenchmark.com/SpeedTest/2429/IntelR CoreTM2 CPU     P8800    266GHz
CPU,,Intel,i7 L 620,1007,39.1,356,https://cpu.userbenchmark.com/SpeedTest/952/IntelR CoreTM i7 CPU       L 620    200GHz
CPU,,AMD,Turion II Ultra Mobile M600,1008,39.1,226,https://cpu.userbenchmark.com/SpeedTest/5449/AMD Turiontm II Ultra Dual Core Mobile M600
CPU,,AMD,Opteron 4171 HE,1009,39.1,16,https://cpu.userbenchmark.com/SpeedTest/5977/AMD Opterontm Processor 4171 HE
CPU,,Intel,P9400,1010,39,688,https://cpu.userbenchmark.com/SpeedTest/5017/IntelR CoreTM2 CPU     P9400    240GHz
CPU,,Intel,6600,1011,38.9,7294,https://cpu.userbenchmark.com/SpeedTest/984/IntelR CoreTM2 CPU          6600    240GHz
CPU,AD9500AHABBOX,AMD,A6 9500E APU (2016 D.BR),1012,38.9,191,https://cpu.userbenchmark.com/SpeedTest/340618/AMD A6 9500E RADEON R5 6 COMPUTE CORES 2C 4G
CPU,,Intel,E6300,1013,38.8,2325,https://cpu.userbenchmark.com/SpeedTest/3310/PentiumR Dual Core  CPU      E6300    280GHz
CPU,,Intel,i3 M 350,1014,38.7,13828,https://cpu.userbenchmark.com/SpeedTest/572/IntelR CoreTM i3 CPU       M 350    227GHz
CPU,,AMD,A10 4655M APU,1015,38.5,1836,https://cpu.userbenchmark.com/SpeedTest/6343/AMD A10 4655M APU with Radeontm HD Graphics
CPU,,AMD,Phenom II P960,1016,38.5,1063,https://cpu.userbenchmark.com/SpeedTest/1991/AMD Phenomtm II P960 Processor
CPU,,AMD,A10 9620P APU (2016 M.BR),1017,38.5,5156,https://cpu.userbenchmark.com/SpeedTest/300068/AMD A10 9620P RADEON R5 10 COMPUTE CORES 4C 6G
CPU,,Intel,P9300,1018,38.5,254,https://cpu.userbenchmark.com/SpeedTest/602/IntelR CoreTM2 CPU     P9300    226GHz
CPU,,AMD,A10 7400P APU (2014 M.Ka),1019,38.5,1292,https://cpu.userbenchmark.com/SpeedTest/26875/AMD A10 7400P Radeon R6 10 Compute Cores 4C 6G
CPU,,Intel,E5800,1020,38.5,8779,https://cpu.userbenchmark.com/SpeedTest/3092/PentiumR Dual Core  CPU      E5800    320GHz
CPU,HE8067702740018,Intel,4415Y,1021,38.4,2310,https://cpu.userbenchmark.com/SpeedTest/549016/IntelR PentiumR CPU 4415Y   160GHz
CPU,BX80557E6550,Intel,E6550,1022,38.4,10354,https://cpu.userbenchmark.com/Intel E6550/Rating/568
CPU,,AMD,A6 7400K APU (2014 D.Ka),1023,38.3,8261,https://cpu.userbenchmark.com/SpeedTest/16549/AMD A6 7400K Radeon R5 6 Compute Cores 2C 4G
CPU,,Intel,P8700,1024,38.3,7170,https://cpu.userbenchmark.com/SpeedTest/581/IntelR CoreTM2 CPU     P8700    253GHz
CPU,HE8067702740013,Intel,4410Y,1025,38.3,59,https://cpu.userbenchmark.com/SpeedTest/315867/IntelR PentiumR CPU 4410Y   150GHz
CPU,,Intel,T8300,1026,38.2,2282,https://cpu.userbenchmark.com/SpeedTest/1921/IntelR CoreTM2 CPU     T8300    240GHz
CPU,,Intel,E5320,1027,38.2,113,https://cpu.userbenchmark.com/SpeedTest/24377/IntelR XeonR CPU           E5320    186GHz
CPU,,Intel,E5700,1028,38.2,18028,https://cpu.userbenchmark.com/SpeedTest/976/PentiumR Dual Core  CPU      E5700    300GHz
CPU,,AMD,Athlon Dual 4850e,1029,38.2,570,https://cpu.userbenchmark.com/SpeedTest/3970/AMD Athlontm Dual Core Processor 4850e
CPU,AM970PADY44AB,AMD,A12 9700P APU (2016 M.BR),1030,38.2,5344,https://cpu.userbenchmark.com/SpeedTest/148571/AMD A12 9700P RADEON R7 10 COMPUTE CORES 4C 6G
CPU,,Intel,T7700,1031,38.1,1799,https://cpu.userbenchmark.com/SpeedTest/2770/IntelR CoreTM2 CPU     T7700    240GHz
CPU,FH8068003067403,Intel,J4105,1032,38.1,947,https://cpu.userbenchmark.com/SpeedTest/444211/IntelR CeleronR J4105 CPU   150GHz
CPU,,AMD,A8 5545M APU,1033,38,2532,https://cpu.userbenchmark.com/SpeedTest/9308/AMD A8 5545M APU with Radeontm HD Graphics
CPU,,AMD,Athlon 64 X2 Dual 5200+,1034,38,4975,https://cpu.userbenchmark.com/SpeedTest/1721/AMD Athlontm 64 X2 Dual Core Processor 5200 
CPU,,AMD,A10 5745M APU,1035,38,5906,https://cpu.userbenchmark.com/SpeedTest/4194/AMD A10 5745M APU with Radeontm HD Graphics
CPU,,AMD,A6 3420M APU,1036,38,4161,https://cpu.userbenchmark.com/SpeedTest/649/AMD A6 3420M APU with Radeontm HD Graphics
CPU,,Intel,J2900,1037,38,3950,https://cpu.userbenchmark.com/SpeedTest/12727/IntelR PentiumR CPU  J2900    241GHz
CPU,,Intel,6420,1038,37.9,1993,https://cpu.userbenchmark.com/SpeedTest/1967/IntelR CoreTM2 CPU          6420    213GHz
CPU,,Intel,L9600,1039,37.9,99,https://cpu.userbenchmark.com/SpeedTest/1700/IntelR CoreTM2 CPU     L9600    213GHz
CPU,,Intel,967,1040,37.9,275,https://cpu.userbenchmark.com/SpeedTest/4152/IntelR PentiumR CPU 967   130GHz
CPU,,Intel,P7570,1041,37.8,257,https://cpu.userbenchmark.com/SpeedTest/7581/IntelR CoreTM2 CPU     P7570    226GHz
CPU,,Intel,i3 M 330,1042,37.8,13627,https://cpu.userbenchmark.com/SpeedTest/484/IntelR CoreTM i3 CPU       M 330    213GHz
CPU,,Intel,E5500,1043,37.7,7078,https://cpu.userbenchmark.com/SpeedTest/2012/PentiumR Dual Core  CPU      E5500    280GHz
CPU,,Intel,P8400,1044,37.7,6292,https://cpu.userbenchmark.com/SpeedTest/307/IntelR CoreTM2 CPU     P8400    226GHz
CPU,FH8068003067406,Intel,Silver N5000,1045,37.6,8684,https://cpu.userbenchmark.com/SpeedTest/499477/IntelR PentiumR Silver N5000 CPU   110GHz
CPU,,AMD,Athlon II P360,1046,37.6,1398,https://cpu.userbenchmark.com/SpeedTest/3956/AMD Athlontm II P360 Dual Core Processor
CPU,,Intel,L9400,1047,37.6,584,https://cpu.userbenchmark.com/SpeedTest/5525/IntelR CoreTM2 CPU     L9400    186GHz
CPU,,Intel,E5400,1048,37.5,13592,https://cpu.userbenchmark.com/SpeedTest/4475/PentiumR Dual Core  CPU      E5400    270GHz
CPU,,AMD,Phenom II P940,1049,37.5,84,https://cpu.userbenchmark.com/SpeedTest/12706/AMD Phenomtm II P940 Processor
CPU,,Intel,N3540,1050,37.5,16362,https://cpu.userbenchmark.com/SpeedTest/15842/IntelR PentiumR CPU  N3540    216GHz
CPU,,Intel,N3530,1051,37.4,4575,https://cpu.userbenchmark.com/SpeedTest/11468/IntelR PentiumR CPU  N3530    216GHz
CPU,,AMD,A4 3300 APU,1052,37.4,2085,https://cpu.userbenchmark.com/SpeedTest/4728/AMD A4 3300 APU with Radeontm HD Graphics
CPU,,AMD,A6 4400M APU,1053,37.4,5399,https://cpu.userbenchmark.com/SpeedTest/1745/AMD A6 4400M APU with Radeontm HD Graphics
CPU,,Intel,P8600,1054,37.3,7182,https://cpu.userbenchmark.com/SpeedTest/753/IntelR CoreTM2 CPU     P8600    240GHz
CPU,,AMD,A4 3400 APU,1055,37.3,2532,https://cpu.userbenchmark.com/SpeedTest/6076/AMD A4 3400 APU with Radeontm HD Graphics
CPU,,Intel,E3300,1056,37.2,2237,https://cpu.userbenchmark.com/SpeedTest/5787/IntelR CeleronR CPU        E3300    250GHz
CPU,,Intel,Z3740D,1057,37.1,188,https://cpu.userbenchmark.com/SpeedTest/3287/IntelR AtomTM CPU  Z3740D   133GHz
CPU,,Intel,M 5Y31,1058,37.1,103,https://cpu.userbenchmark.com/SpeedTest/33034/IntelR CoreTM M 5Y31 CPU   090GHz
CPU,,Intel,E3200,1059,37.1,910,https://cpu.userbenchmark.com/SpeedTest/6422/IntelR CeleronR CPU        E3200    240GHz
CPU,,AMD,Athlon 64 X2 Dual 4600+,1060,37.1,2055,https://cpu.userbenchmark.com/SpeedTest/8715/AMD Athlontm 64 X2 Dual Core Processor 4600 
CPU,,AMD,Athlon 64 X2 Dual 5000+,1061,37.1,5344,https://cpu.userbenchmark.com/SpeedTest/2324/AMD Athlontm 64 X2 Dual Core Processor 5000 
CPU,,AMD,A6 3400M APU,1062,37.1,3480,https://cpu.userbenchmark.com/SpeedTest/491/AMD A6 3400M APU with Radeontm HD Graphics
CPU,,Intel,6400,1063,37,4971,https://cpu.userbenchmark.com/SpeedTest/106/IntelR CoreTM2 CPU          6400    213GHz
CPU,,Intel,E5300,1064,37,15731,https://cpu.userbenchmark.com/SpeedTest/38/PentiumR Dual Core  CPU      E5300    260GHz
CPU,,Intel,N3520,1065,37,1900,https://cpu.userbenchmark.com/SpeedTest/7431/IntelR PentiumR CPU  N3520    216GHz
CPU,HE8066201931229,Intel,4405Y,1066,37,132,https://cpu.userbenchmark.com/SpeedTest/144619/IntelR PentiumR CPU 4405Y   150GHz
CPU,,Intel,E4700,1067,37,1112,https://cpu.userbenchmark.com/SpeedTest/669/IntelR CoreTM2 CPU     E4700    260GHz
CPU,,AMD,A4 4300M APU,1068,37,2076,https://cpu.userbenchmark.com/SpeedTest/2001/AMD A4 4300M APU with Radeontm HD Graphics
CPU,,Intel,P7550,1069,37,827,https://cpu.userbenchmark.com/SpeedTest/3099/IntelR CoreTM2 CPU     P7550    226GHz
CPU,AD9500AGABBOX,AMD,A6 9500 APU (2016 D.BR),1070,36.9,2262,https://cpu.userbenchmark.com/SpeedTest/302063/AMD A6 9500 RADEON R5 8 COMPUTE CORES 2C 6G
CPU,,AMD,Athlon X2 Dual BE 2400,1071,36.9,62,https://cpu.userbenchmark.com/SpeedTest/10300/AMD Athlontm X2 Dual Core Processor BE 2400
CPU,AM960PADY44AB,AMD,A10 9600P APU (2016 M.BR),1072,36.7,10605,https://cpu.userbenchmark.com/SpeedTest/136279/AMD A10 9600P RADEON R5 10 COMPUTE CORES 4C 6G
CPU,,Intel,E5200,1073,36.7,13746,https://cpu.userbenchmark.com/SpeedTest/1599/PentiumR Dual Core  CPU      E5200    250GHz
CPU,,AMD,Turion II Neo N54L,1074,36.6,174,https://cpu.userbenchmark.com/SpeedTest/7165/AMD Turiontm II Neo N54L Dual Core Processor
CPU,,Intel,T8100,1075,36.6,2496,https://cpu.userbenchmark.com/SpeedTest/2334/IntelR CoreTM2 CPU     T8100    210GHz
CPU,,Intel,J1900,1076,36.6,5746,https://cpu.userbenchmark.com/SpeedTest/10898/IntelR CeleronR CPU  J1900    199GHz
CPU,,AMD,Athlon II P340,1077,36.5,2388,https://cpu.userbenchmark.com/SpeedTest/380/AMD Athlontm II P340 Dual Core Processor
CPU,,Intel,P7450,1078,36.5,2555,https://cpu.userbenchmark.com/SpeedTest/1597/IntelR CoreTM2 CPU     P7450    213GHz
CPU,,AMD,Athlon Dual 4450e,1079,36.4,482,https://cpu.userbenchmark.com/SpeedTest/9437/AMD Athlontm Dual Core Processor 4450e
CPU,,AMD,Sempron 145,1080,36.4,3444,https://cpu.userbenchmark.com/SpeedTest/6487/AMD Semprontm 145 Processor
CPU,,Intel,T7500,1081,36.3,3872,https://cpu.userbenchmark.com/SpeedTest/867/IntelR CoreTM2 CPU     T7500    220GHz
CPU,,Intel,E3400,1082,36.3,3551,https://cpu.userbenchmark.com/SpeedTest/5119/IntelR CeleronR CPU        E3400    260GHz
CPU,,Intel,E5310,1083,36.3,29,https://cpu.userbenchmark.com/SpeedTest/21579/IntelR XeonR CPU           E5310    160GHz
CPU,,AMD,Athlon 64 X2 Dual 4800+,1084,36.3,1903,https://cpu.userbenchmark.com/SpeedTest/2246/AMD Athlontm 64 X2 Dual Core Processor 4800 
CPU,,AMD,A9 9430 APU (2016 M.SR),1085,36.2,831,https://cpu.userbenchmark.com/SpeedTest/303175/AMD A9 9430 RADEON R5 5 COMPUTE CORES 2C 3G
CPU,,AMD,Athlon Dual 4450B,1086,36.2,496,https://cpu.userbenchmark.com/SpeedTest/3166/AMD Athlontm Dual Core Processor 4450B
CPU,,Intel,6320,1087,36.1,1388,https://cpu.userbenchmark.com/SpeedTest/4501/IntelR CoreTM2 CPU          6320    186GHz
CPU,,Intel,P7350,1088,36.1,2465,https://cpu.userbenchmark.com/SpeedTest/1998/IntelR CoreTM2 CPU     P7350    200GHz
CPU,,Intel,N2930,1089,36,1710,https://cpu.userbenchmark.com/SpeedTest/13386/IntelR CeleronR CPU  N2930    183GHz
CPU,,AMD,Sempron 140,1090,36,2422,https://cpu.userbenchmark.com/SpeedTest/3248/AMD Semprontm 140 Processor
CPU,,AMD,A8 4555M APU,1091,35.9,1973,https://cpu.userbenchmark.com/SpeedTest/3647/AMD A8 4555M APU with Radeontm HD Graphics
CPU,,Intel,P6200,1092,35.9,7651,https://cpu.userbenchmark.com/SpeedTest/4539/IntelR PentiumR CPU        P6200    213GHz
CPU,,Intel,Dual T3300,1093,35.9,575,https://cpu.userbenchmark.com/SpeedTest/8823/CeleronR Dual Core CPU       T3300    200GHz
CPU,,AMD,Athlon 64 X2 Dual 4200+,1094,35.8,3704,https://cpu.userbenchmark.com/SpeedTest/3258/AMD Athlontm 64 X2 Dual Core Processor 4200 
CPU,,AMD,A8 7410 APU (2015 M.Ca),1095,35.8,26171,https://cpu.userbenchmark.com/SpeedTest/33754/AMD A8 7410 APU with AMD Radeon R5 Graphics
CPU,,AMD,A4 3330MX APU,1096,35.7,1187,https://cpu.userbenchmark.com/SpeedTest/6834/AMD A4 3330MX APU with Radeontm HD Graphics
CPU,,Intel,T6670,1097,35.7,1943,https://cpu.userbenchmark.com/SpeedTest/2964/IntelR CoreTM2 CPU     T6670    220GHz
CPU,,AMD,Athlon 5350 APU R3,1098,35.7,3319,https://cpu.userbenchmark.com/SpeedTest/10020/AMD Athlontm 5350 APU with Radeontm R3
CPU,,Intel,T6500,1099,35.5,3146,https://cpu.userbenchmark.com/SpeedTest/3474/IntelR CoreTM2 CPU     T6500    210GHz
CPU,,Intel,P6100,1100,35.5,5655,https://cpu.userbenchmark.com/SpeedTest/756/IntelR PentiumR CPU        P6100    200GHz
CPU,,AMD,Athlon 64 X2 Dual 4400+,1101,35.5,2816,https://cpu.userbenchmark.com/SpeedTest/2330/AMD Athlontm 64 X2 Dual Core Processor 4400 
CPU,,AMD,A4 7210 APU (2015 M.Ca),1102,35.5,1953,https://cpu.userbenchmark.com/SpeedTest/42376/AMD A4 7210 APU with AMD Radeon R3 Graphics
CPU,,Intel,T7300,1103,35.4,2556,https://cpu.userbenchmark.com/SpeedTest/2508/IntelR CoreTM2 CPU     T7300    200GHz
CPU,,Intel,T4500,1104,35.4,8284,https://cpu.userbenchmark.com/SpeedTest/2148/PentiumR Dual Core CPU       T4500    230GHz
CPU,,Intel,T6400,1105,35.4,4327,https://cpu.userbenchmark.com/SpeedTest/2405/IntelR CoreTM2 CPU     T6400    200GHz
CPU,,Intel,T6600,1106,35.4,7834,https://cpu.userbenchmark.com/SpeedTest/242/IntelR CoreTM2 CPU     T6600    220GHz
CPU,,AMD,Turion II Mobile M500,1107,35.3,566,https://cpu.userbenchmark.com/SpeedTest/2912/AMD Turiontm II Dual Core Mobile M500
CPU,,Intel,T7600,1108,35.3,595,https://cpu.userbenchmark.com/SpeedTest/2765/IntelR CoreTM2 CPU         T7600    233GHz
CPU,,AMD,Athlon II P320,1109,35.3,3305,https://cpu.userbenchmark.com/SpeedTest/1942/AMD Athlontm II P320 Dual Core Processor
CPU,,Intel,T5900,1110,35.3,309,https://cpu.userbenchmark.com/SpeedTest/2376/IntelR CoreTM2 CPU     T5900    220GHz
CPU,,Intel,E4600,1111,35.3,6160,https://cpu.userbenchmark.com/SpeedTest/2191/IntelR CoreTM2 CPU     E4600    240GHz
CPU,,Intel,T4300,1112,35.3,6190,https://cpu.userbenchmark.com/SpeedTest/2938/PentiumR Dual Core CPU       T4300    210GHz
CPU,,AMD,Athlon LE 1640,1113,35.2,421,https://cpu.userbenchmark.com/SpeedTest/7308/AMD Athlontm Processor LE 1640
CPU,,Intel,T5870,1114,35.2,1953,https://cpu.userbenchmark.com/SpeedTest/5377/IntelR CoreTM2 CPU     T5870    200GHz
CPU,,AMD,A6 7310 APU (2015 M.Ca),1115,35.2,11070,https://cpu.userbenchmark.com/SpeedTest/42196/AMD A6 7310 APU with AMD Radeon R4 Graphics
CPU,,AMD,FX 7500 APU (2014 M.Ka),1116,35.2,3328,https://cpu.userbenchmark.com/SpeedTest/16010/AMD FX 7500 Radeon R7 10 Compute Cores 4C 6G
CPU,,Intel,847,1117,35.2,4303,https://cpu.userbenchmark.com/SpeedTest/457/IntelR CeleronR CPU 847   110GHz
CPU,,Intel,T5670,1118,35.2,726,https://cpu.userbenchmark.com/SpeedTest/3564/IntelR CoreTM2 CPU     T5670    180GHz
CPU,,AMD,A8 6410 APU R5 Graphics,1119,35.1,19929,https://cpu.userbenchmark.com/SpeedTest/12263/AMD A8 6410 APU with AMD Radeon R5 Graphics
CPU,,Intel,6300,1120,35.1,5623,https://cpu.userbenchmark.com/SpeedTest/2521/IntelR CoreTM2 CPU          6300    186GHz
